Date,WVDATA.Death,WVDATA.DeathIncrease
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,1,1
2020-3-31,1,0
2020-4-1,1,0
2020-4-2,2,1
2020-4-3,2,0
2020-4-4,2,0
2020-4-5,3,1
2020-4-6,4,1
2020-4-7,4,0
2020-4-8,4,0
2020-4-9,5,1
2020-4-10,5,0
2020-4-11,5,0
2020-4-12,8,3
2020-4-13,9,1
2020-4-14,9,0
2020-4-15,10,1
2020-4-16,13,3
2020-4-17,13,0
2020-4-18,16,3
2020-4-19,18,2
2020-4-20,24,6
2020-4-21,26,2
2020-4-22,26,0
2020-4-23,29,3
2020-4-24,32,3
2020-4-25,32,0
2020-4-26,34,2
2020-4-27,36,2
2020-4-28,37,1
2020-4-29,38,1
2020-4-30,41,3
2020-5-1,46,5
2020-5-2,48,2
2020-5-3,50,2
2020-5-4,50,0
2020-5-5,50,0
2020-5-6,50,0
2020-5-7,51,1
2020-5-8,51,0
2020-5-9,53,2
2020-5-10,54,1
2020-5-11,54,0
2020-5-12,57,3
2020-5-13,58,1
2020-5-14,60,2
2020-5-15,62,2
2020-5-16,64,2
2020-5-17,67,3
2020-5-18,67,0
2020-5-19,68,1
2020-5-20,69,1
2020-5-21,70,1
2020-5-22,71,1
2020-5-23,72,1
2020-5-24,72,0
2020-5-25,72,0
2020-5-26,74,2
2020-5-27,74,0
2020-5-28,74,0
2020-5-29,74,0
2020-5-30,75,1
2020-5-31,75,0
2020-6-1,75,0
2020-6-2,77,2
2020-6-3,78,1
2020-6-4,78,0
2020-6-5,84,6
2020-6-6,84,0
2020-6-7,84,0
2020-6-8,84,0
2020-6-9,84,0
2020-6-10,85,1
